id,title,author,year,publisher,genre,rating,pages,language,description
1,Book Title 1,Author 1,1919,Publisher 1,Fiction,4.7,394,Chinese,Description for book 1...
2,Book Title 2,Author 2,1937,Publisher 2,Fantasy,2.0,624,Chinese,Description for book 2...
3,Book Title 3,Author 3,1927,Publisher 3,Fantasy,4.8,723,German,Description for book 3...
4,Book Title 4,Author 4,1901,Publisher 4,Romance,4.5,339,Chinese,Description for book 4...
5,Book Title 5,Author 5,1972,Publisher 5,Fantasy,1.0,351,French,Description for book 5...
6,Book Title 6,Author 6,1938,Publisher 6,Horror,3.9,669,English,Description for book 6...
7,Book Title 7,Author 7,1997,Publisher 7,Fiction,2.1,775,Chinese,Description for book 7...
8,Book Title 8,Author 8,1978,Publisher 8,Mystery,3.3,709,German,Description for book 8...
9,Book Title 9,Author 9,1961,Publisher 9,Fiction,3.9,766,Spanish,Description for book 9...
10,Book Title 10,Author 10,1919,Publisher 10,Fantasy,3.2,316,German,Description for book 10...
11,Book Title 11,Author 11,1904,Publisher 11,Horror,3.9,230,Chinese,Description for book 11...
12,Book Title 12,Author 12,2009,Publisher 12,Horror,4.5,351,English,Description for book 12...
13,Book Title 13,Author 13,1919,Publisher 13,Fantasy,2.9,487,Spanish,Description for book 13...
14,Book Title 14,Author 14,1921,Publisher 14,Fiction,3.2,545,German,Description for book 14...
15,Book Title 15,Author 15,1953,Publisher 15,Horror,4.9,411,French,Description for book 15...
16,Book Title 16,Author 16,2008,Publisher 16,Fiction,1.8,203,German,Description for book 16...
17,Book Title 17,Author 17,1991,Publisher 17,Science Fiction,3.2,550,English,Description for book 17...
18,Book Title 18,Author 18,2006,Publisher 18,Fiction,4.1,621,Spanish,Description for book 18...
19,Book Title 19,Author 19,1961,Publisher 19,Biography,1.9,791,English,Description for book 19...
20,Book Title 20,Author 20,1930,Publisher 0,Science Fiction,3.7,385,Spanish,Description for book 20...
21,Book Title 21,Author 21,1926,Publisher 1,Science Fiction,2.7,185,Spanish,Description for book 21...
22,Book Title 22,Author 22,1986,Publisher 2,Biography,3.2,309,French,Description for book 22...
23,Book Title 23,Author 23,1922,Publisher 3,Biography,2.2,102,Spanish,Description for book 23...
24,Book Title 24,Author 24,1973,Publisher 4,Fiction,3.8,558,Spanish,Description for book 24...
