id,title,author,year,publisher,genre,rating,pages,language,description
1,Book Title 1,Author 1,1956,Publisher 1,Non-Fiction,3.6,212,German,Description for book 1...
2,Book Title 2,Author 2,1994,Publisher 2,Thriller,3.3,723,German,Description for book 2...
3,Book Title 3,Author 3,1914,Publisher 3,Romance,3.1,384,German,Description for book 3...
4,Book Title 4,Author 4,1950,Publisher 4,Fantasy,2.0,279,Chinese,Description for book 4...
5,Book Title 5,Author 5,1944,Publisher 5,Horror,3.0,782,French,Description for book 5...
6,Book Title 6,Author 6,1947,Publisher 6,Mystery,1.4,747,German,Description for book 6...
7,Book Title 7,Author 7,1993,Publisher 7,Romance,2.8,744,English,Description for book 7...
8,Book Title 8,Author 8,2020,Publisher 8,Horror,2.8,289,Spanish,Description for book 8...
9,Book Title 9,Author 9,1996,Publisher 9,Mystery,1.6,746,Chinese,Description for book 9...
10,Book Title 10,Author 10,2017,Publisher 10,Romance,1.4,401,Spanish,Description for book 10...
11,Book Title 11,Author 11,1939,Publisher 11,Fantasy,3.2,697,Spanish,Description for book 11...
12,Book Title 12,Author 12,1923,Publisher 12,Horror,1.4,689,French,Description for book 12...
13,Book Title 13,Author 13,1915,Publisher 13,Fantasy,3.9,390,English,Description for book 13...
14,Book Title 14,Author 14,1989,Publisher 14,Mystery,3.4,656,Spanish,Description for book 14...
15,Book Title 15,Author 15,1905,Publisher 15,Fantasy,3.5,484,French,Description for book 15...
16,Book Title 16,Author 16,1960,Publisher 16,Thriller,3.4,527,French,Description for book 16...
17,Book Title 17,Author 17,1945,Publisher 17,Horror,4.1,534,German,Description for book 17...
18,Book Title 18,Author 18,1986,Publisher 18,Mystery,4.5,115,German,Description for book 18...
19,Book Title 19,Author 19,1917,Publisher 19,Science Fiction,2.2,399,French,Description for book 19...
20,Book Title 20,Author 20,1986,Publisher 0,Biography,1.2,307,Chinese,Description for book 20...
21,Book Title 21,Author 21,1954,Publisher 1,Biography,4.4,507,French,Description for book 21...
22,Book Title 22,Author 22,1975,Publisher 2,Romance,5.0,610,Chinese,Description for book 22...
23,Book Title 23,Author 23,2008,Publisher 3,Fiction,2.7,759,German,Description for book 23...
24,Book Title 24,Author 24,1996,Publisher 4,Horror,2.7,487,English,Description for book 24...
25,Book Title 25,Author 25,1910,Publisher 5,Non-Fiction,3.8,388,Chinese,Description for book 25...
26,Book Title 26,Author 26,2016,Publisher 6,Science Fiction,3.6,618,French,Description for book 26...
27,Book Title 27,Author 27,1929,Publisher 7,Fantasy,1.5,156,Spanish,Description for book 27...
28,Book Title 28,Author 28,1949,Publisher 8,Thriller,4.0,651,French,Description for book 28...
29,Book Title 29,Author 29,1995,Publisher 9,Fantasy,3.6,785,French,Description for book 29...
30,Book Title 30,Author 30,1931,Publisher 10,Horror,4.2,152,Spanish,Description for book 30...
31,Book Title 31,Author 31,1951,Publisher 11,Fantasy,1.5,101,Spanish,Description for book 31...
32,Book Title 32,Author 32,2000,Publisher 12,Non-Fiction,1.3,642,French,Description for book 32...
33,Book Title 33,Author 33,1943,Publisher 13,Science Fiction,1.5,528,German,Description for book 33...
34,Book Title 34,Author 34,1919,Publisher 14,Science Fiction,1.8,435,French,Description for book 34...
35,Book Title 35,Author 35,2015,Publisher 15,Non-Fiction,1.4,165,Spanish,Description for book 35...
36,Book Title 36,Author 36,1973,Publisher 16,Non-Fiction,2.3,601,Spanish,Description for book 36...
37,Book Title 37,Author 37,1934,Publisher 17,Horror,2.5,632,Spanish,Description for book 37...
